Z,HQ,HK,N_CTX_Q,N_CTX_K,D_HEAD,causal,dropout_p,layout,use_exp2,scale_per_head,mismatched_elems,total_elems,mismatched_percentage,greatest_abs_diff,greatest_rel_diff
1,1,1,2,4,16,True,0.0,bhsd,True,True,5,32,15.6,0.025390625,0.202392578125
1,2,2,2,4,16,True,0.0,bhsd,True,True,7,64,10.9,0.025390625,0.202392578125
1,4,1,2,4,16,True,0.0,bhsd,True,True,10,128,7.8,0.025390625,0.25341796875
1,4,2,2,4,16,True,0.0,bhsd,True,True,13,128,10.2,0.033203125,0.269287109375
1,1,1,4,2,16,True,0.0,bhsd,True,True,4,64,6.2,0.025390625,3.955078125
1,1,1,4,4,16,True,0.0,bhsd,True,True,1,64,1.6,0.013641357421875,0.275146484375
1,2,2,4,4,16,True,0.0,bhsd,True,True,6,128,4.7,0.037109375,6.7421875
2,1,1,4,4,16,True,0.0,bhsd,True,True,6,128,4.7,0.037109375,6.7421875
2,2,2,4,4,16,True,0.0,bhsd,True,True,14,256,5.5,0.03759765625,6.7421875
1,1,1,128,64,16,True,0.0,bhsd,True,True,55,2048,2.7,0.0297698974609375,29.375
3,3,3,128,128,64,True,0.0,bhsd,True,True,1380,73728,1.9,0.0498046875,19.75
2,4,4,1024,1024,64,True,0.0,bhsd,True,True,1448,524288,0.3,0.05078125,43.15625
4,6,6,108,256,224,True,0.0,bhsd,True,True,44,580608,0.0,0.01416015625,18.4375
4,8,8,2048,2048,128,True,0.0,bhsd,True,True,9721,8388608,0.1,0.05078125,652.5
4,16,16,4096,4096,64,True,0.0,bhsd,True,True,9953,16777216,0.1,0.0498046875,7316.0
2,4,4,8192,8192,32,True,0.0,bhsd,True,True,661,2097152,0.0,0.03955078125,6.046875
4,6,1,113,203,256,True,0.0,bhsd,True,True,342,694272,0.0,0.02001953125,27.578125
4,6,1,128,217,256,True,0.0,bhsd,True,True,430,786432,0.1,0.018310546875,82.875
4,6,2,113,211,128,True,0.0,bhsd,True,True,148,347136,0.0,0.018310546875,16.40625
4,6,2,108,256,128,True,0.0,bhsd,True,True,26,331776,0.0,0.0162506103515625,63.46875
4,6,1,512,256,64,True,0.0,bhsd,True,True,3514,786432,0.4,0.05078125,197.25
4,6,2,1024,1024,32,True,0.0,bhsd,True,True,1901,786432,0.2,0.05712890625,737.5
4,6,2,1023,1024,32,True,0.0,bhsd,True,True,1839,785664,0.2,0.0439453125,66.9375
4,6,6,1024,1023,32,True,0.0,bhsd,True,True,1881,786432,0.2,0.0517578125,75.0
4,6,6,2048,2048,32,True,0.0,bhsd,True,True,1859,1572864,0.1,0.0556640625,65.25
1,1,1,2,4,16,False,0.0,bhsd,True,True,4,32,12.5,0.01953125,0.154296875
1,2,2,2,4,16,False,0.0,bhsd,True,True,6,64,9.4,0.01953125,0.154296875
